entries,number of compounds,number of edges,Pairwise RMSE,Pairwise MUE,Edgewise RMSE,Edgewise MUE,R-squared,Kendall tau
hsp90_3hvd_custcore_out,10,16,2.00,1.58,1.47,1.11,0.46,0.31
3RKZ_lig62to70_alpha05_out,7,9,0.70,0.60,0.61,0.54,0.97,0.71
MHT1_lig3_alpha05_out,3,3,0.70,0.65,0.70,0.65,1.00,1.00
2B8V_lig24and25_alpha05_out,2,1,0.62,0.62,0.63,0.63,1.00,1.00
ck2_custcore_hotlys_out,2,1,1.26,1.26,1.25,1.25,1.00,1.00
2Q15_lig17to21_alpha05_out,6,9,0.88,0.72,0.85,0.65,0.66,0.60
2E9P_lig4to7_alpha05_out,4,5,1.22,1.06,0.95,0.85,0.00,0.33
